Country Name;Country Code;gdp
Aruba;ABW;48750,31601
Afghanistan;AFG;
Angola;AGO;6976,006469
Albania;ALB;18603,41179
Andorra;AND;
United Arab Emirates;ARE;88488,98461
Argentina;ARG;26530,32312
Armenia;ARM;18965,72757
American Samoa;ASM;
Antigua and Barbuda;ATG;26365,46898
Australia;AUS;63216,14922
Austria;AUT;67874,90488
Azerbaijan;AZE;17828,60839
Burundi;BDI;836,4645675
Belgium;BEL;65478,44695
Benin;BEN;4057,451755
Burkina Faso;BFA;2549,934982
Bangladesh;BGD;7397,545737
Bulgaria;BGR;33845,57635
Bahrain;BHR;61248,18013
Bahamas, The;BHS;40942,77672
Bosnia and Herzegovina;BIH;19990,81349
Belarus;BLR;22550,64044
Belize;BLZ;11189,86408
Bermuda;BMU;95868,78026
Bolivia;BOL;9737,676068
Brazil;BRA;17827,64105
Barbados;BRB;18210,1343
Brunei Darussalam;BRN;69297,93271
Bhutan;BTN;
Botswana;BWA;18329,84926
Central African Republic;CAF;973,2462704
Canada;CAN;58347,66961
Central Europe and the Baltics;CEB;42893,03274
Switzerland;CHE;84649,9399
Channel Islands;CHI;
Chile;CHL;30208,80553
China;CHN;21482,56218
Cote d'Ivoire;CIV;6540,462355
Cameroon;CMR;4398,048919
Congo, Dem. Rep.;COD;1337,834149
Congo, Rep.;COG;4335,055001
Colombia;COL;20268,68239
Comoros;COM;3833,738563
Cabo Verde;CPV;8715,995684
Costa Rica;CRI;25237,1182
Caribbean small states;CSS;21260,86832
Cuba;CUB;
Curacao;CUW;27302,21764
Cayman Islands;CYM;84279,61998
Cyprus;CYP;51322,69922
Czechia;CZE;49194,95779
Germany;DEU;63521,8994
Djibouti;DJI;5893,238371
Dominica;DMA;13540,22461
Denmark;DNK;74896,99622
Dominican Republic;DOM;22841,0898
Algeria;DZA;13226,78957
East Asia & Pacific (excluding high income);EAP;18830,13012
Early-demographic dividend;EAR;11598,5025
East Asia & Pacific;EAS;22422,40945
Europe & Central Asia (excluding high income);ECA;28269,98673
Europe & Central Asia;ECS;44090,63067
Ecuador;ECU;12826,36135
Egypt, Arab Rep.;EGY;15095,99005
Euro area;EMU;56897,93023
Eritrea;ERI;
Spain;ESP;46331,65211
Estonia;EST;46556,38553
Ethiopia;ETH;2812,513134
European Union;EUU;54625,54124
Fragile and conflict affected situations;FCS;4956,318264
Finland;FIN;59470,14501
Fiji;FJI;14632,21006
France;FRA;55387,46458
Faroe Islands;FRO;
Micronesia, Fed. Sts.;FSM;3854,877001
Gabon;GAB;16464,97432
United Kingdom;GBR;54929,83462
Georgia;GEO;20172,07646
Ghana;GHA;6473,089846
Gibraltar;GIB;
Guinea;GIN;3188,075104
Gambia, The;GMB;2496,495435
Guinea-Bissau;GNB;2191,164859
Equatorial Guinea;GNQ;17620,74097
Greece;GRC;37075,11242
Grenada;GRD;17082,89267
Greenland;GRL;
Guatemala;GTM;10821,75545
Guam;GUM;
Guyana;GUY;42089,90036
High income;HIC;60806,3164
Hong Kong SAR, China;HKG;69072,31048
Honduras;HND;6743,330064
Heavily indebted poor countries (HIPC);HPC;3045,953859
Croatia;HRV;40240,01184
Haiti;HTI;3306,170824
Hungary;HUN;41740,91126
IBRD only;IBD;17063,43743
IDA & IBRD total;IBT;13688,22406
IDA total;IDA;4683,895743
IDA blend;IDB;6087,55498
Indonesia;IDN;14657,78234
IDA only;IDX;4007,488788
Isle of Man;IMN;
India;IND;8400,382848
Not classified;INX;
Ireland;IRL;126837,3117
Iran, Islamic Rep.;IRN;18261,84846
Iraq;IRQ;10865,42008
Iceland;ISL;69615,50494
Israel;ISR;49754,75991
Italy;ITA;52803,99726
Jamaica;JAM;11938,90097
Jordan;JOR;11209,89768
Japan;JPN;45583,84697
Kazakhstan;KAZ;30820,08578
Kenya;KEN;5765,819497
Kyrgyz Republic;KGZ;5988,60618
Cambodia;KHM;5355,171908
Kiribati;KIR;2365,509923
St. Kitts and Nevis;KNA;33981,8396
Korea, Rep.;KOR;50330,53816
Kuwait;KWT;58349,21141
Latin America & Caribbean (excluding high income);LAC;18391,50337
Lao PDR;LAO;9387,374412
Lebanon;LBN;
Liberia;LBR;
Libya;LBY;23382,73241
St. Lucia;LCA;17835,69754
Latin America & Caribbean;LCN;19269,50596
Least developed countries: UN classification;LDC;3695,301478
Low income;LIC;2255,912834
Liechtenstein;LIE;
Sri Lanka;LKA;14410,18802
Lower middle income;LMC;8430,469072
Low & middle income;LMY;13239,67049
Lesotho;LSO;2646,175924
Late-demographic dividend;LTE;22823,44305
Lithuania;LTU;48860,67934
Luxembourg;LUX;140616,4491
Latvia;LVA;39825,26342
Macao SAR, China;MAC;61230,96247
St. Martin (French part);MAF;
Morocco;MAR;9547,664063
Monaco;MCO;
Moldova;MDA;15719,23249
Madagascar;MDG;1774,656304
Maldives;MDV;25124,60945
Middle East & North Africa;MEA;19756,99043
Mexico;MEX;22298,21371
Marshall Islands;MHL;7092,027364
Middle income;MIC;14540,97322
North Macedonia;MKD;20328,85269
Mali;MLI;2518,947283
Malta;MLT;55865,84637
Myanmar;MMR;5019,739732
Middle East & North Africa (excluding high income);MNA;12816,65512
Montenegro;MNE;27027,48297
Mongolia;MNG;14260,30965
Northern Mariana Islands;MNP;
Mozambique;MOZ;1477,3494
Mauritania;MRT;6295,780998
Mauritius;MUS;26979,05322
Malawi;MWI;1732,604111
Malaysia;MYS;33525,30125
North America;NAC;74452,52502
Namibia;NAM;11531,30052
New Caledonia;NCL;
Niger;NER;1505,542648
Nigeria;NGA;5862,23507
Nicaragua;NIC;6877,070832
Netherlands;NLD;70869,40738
Norway;NOR;114929,521
Nepal;NPL;4726,606504
Nauru;NRU;13021,39887
New Zealand;NZL;52149,2369
OECD members;OED;54101,4987
Oman;OMN;41738,16078
Other small states;OSS;26376,25901
Pakistan;PAK;6351,002523
Panama;PAN;39292,68751
Peru;PER;15052,5031
Philippines;PHL;10136,55271
Palau;PLW;
Papua New Guinea;PNG;4432,789618
Poland;POL;44134,61831
Pre-demographic dividend;PRE;4005,046273
Puerto Rico;PRI;40510,99243
Korea, Dem. People's Rep.;PRK;
Portugal;PRT;41862,72278
Paraguay;PRY;15982,60444
West Bank and Gaza;PSE;6759,021598
Pacific island small states;PSS;7742,124107
Post-demographic dividend;PST;59341,23466
French Polynesia;PYF;
Qatar;QAT;114049,228
Romania;ROU;41259,54141
Russian Federation;RUS;36307,80859
Rwanda;RWA;2793,185021
South Asia;SAS;7937,050741
Saudi Arabia;SAU;59279,89005
Sudan;SDN;4217,421875
Senegal;SEN;4210,359279
Singapore;SGP;127606,8148
Solomon Islands;SLB;2654,970328
Sierra Leone;SLE;1930,900727
El Salvador;SLV;11098,09839
San Marino;SMR;
Somalia;SOM;1710,962281
Serbia;SRB;23914,17419
Sub-Saharan Africa (excluding high income);SSA;4432,190448
South Sudan;SSD;
Sub-Saharan Africa;SSF;4434,699139
Small states;SST;24357,50024
Sao Tome and Principe;STP;4061,808081
Suriname;SUR;17773,48396
Slovak Republic;SVK;37457,17302
Slovenia;SVN;48302,52664
Sweden;SWE;65156,9537
Eswatini;SWZ;10699,54236
Sint Maarten (Dutch part);SXM;49540,86453
Seychelles;SYC;29771,74661
Syrian Arab Republic;SYR;
Turks and Caicos Islands;TCA;24471,51787
Chad;TCD;1668,575526
East Asia & Pacific (IDA & IBRD countries);TEA;19039,58867
Europe & Central Asia (IDA & IBRD countries);TEC;30188,24876
Togo;TGO;2601,750009
Thailand;THA;20679,11948
Tajikistan;TJK;4886,743992
Turkmenistan;TKM;
Latin America & the Caribbean (IDA & IBRD countries);TLA;19173,00166
Timor-Leste;TLS;4657,382251
Middle East & North Africa (IDA & IBRD countries);TMN;12891,03238
Tonga;TON;
South Asia (IDA & IBRD);TSA;7937,050741
Sub-Saharan Africa (IDA & IBRD countries);TSS;4434,699139
Trinidad and Tobago;TTO;27515,52642
Tunisia;TUN;12483,63069
Turkiye;TUR;37445,16004
Tuvalu;TUV;5423,048668
Tanzania;TZA;3099,17334
Uganda;UGA;2693,108305
Ukraine;UKR;12675,43652
Upper middle income;UMC;21530,9076
Uruguay;URY;28851,54016
United States;USA;76329,58227
Uzbekistan;UZB;9535,669691
St. Vincent and the Grenadines;VCT;17212,4297
Venezuela, RB;VEN;
British Virgin Islands;VGB;
Virgin Islands (U.S.);VIR;
Viet Nam;VNM;13461,00897
Vanuatu;VUT;3290,569371
World;WLD;20693,47423
Samoa;WSM;6089,558852
Kosovo;XKX;14971,15206
Yemen, Rep.;YEM;
South Africa;ZAF;15920,42541
Zambia;ZMB;3975,600639
Zimbabwe;ZWE;2607,927678
